     mean_fit_time  std_fit_time  mean_score_time  std_score_time param_max_depth param_max_features param_min_samples_split param_n_estimators                                                                                     params  split0_test_score  split1_test_score  split2_test_score  split3_test_score  split4_test_score  mean_test_score  std_test_score  rank_test_score  split0_train_score  split1_train_score  split2_train_score  split3_train_score  split4_train_score  mean_train_score  std_train_score
124      15.622985      3.018259         0.900039        0.138559               5               sqrt                       2               1000     {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}           0.717087           0.718487           0.719888           0.718487           0.720898         0.718969        0.001309              130            0.726795            0.728196            0.725044            0.727846            0.721989          0.725974         0.002274
128       8.849651      0.879694         0.633356        0.394365               5               sqrt                       4                500      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.727145            0.727846            0.726095            0.726795            0.721639          0.725904         0.002206
166       1.892182      0.082408         0.134282        0.016399               5               log2                       4                100      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}           0.717087           0.719888           0.719888           0.715686           0.720898         0.718689        0.001967              145            0.727846            0.728546            0.725394            0.724343            0.722339          0.725694         0.002278
168       9.441680      0.211477         0.602422        0.058140               5               log2                       4                500      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.727145            0.727846            0.726095            0.726795            0.721639          0.725904         0.002206
158       9.393772      0.293516         0.578155        0.037797               5               auto                       8                500      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.726095            0.726795            0.724694            0.725744            0.721289          0.724923         0.001940
171       1.892093      0.076222         0.120106        0.013395               5               log2                       6                100      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.718487           0.720898         0.718689        0.002494              145            0.726795            0.727496            0.724694            0.724343            0.722339          0.725133         0.001842
131       2.125896      0.634616         0.132719        0.043165               5               sqrt                       6                100      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.718487           0.720898         0.718689        0.002494              145            0.726795            0.727496            0.724694            0.724343            0.722339          0.725133         0.001842
126       1.750268      0.204981         0.136585        0.045585               5               sqrt                       4                100      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}           0.717087           0.719888           0.719888           0.715686           0.720898         0.718689        0.001967              145            0.727846            0.728546            0.725394            0.724343            0.722339          0.725694         0.002278
148      14.751631      2.249000         1.026184        0.189537               5               auto                       4                500      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.727145            0.727846            0.726095            0.726795            0.721639          0.725904         0.002206
146       1.876709      0.182522         0.135251        0.032591               5               auto                       4                100      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 100}           0.717087           0.719888           0.719888           0.715686           0.720898         0.718689        0.001967              145            0.727846            0.728546            0.725394            0.724343            0.722339          0.725694         0.002278
178       9.263775      0.221752         0.561375        0.029828               5               log2                       8                500      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.726095            0.726795            0.724694            0.725744            0.721289          0.724923         0.001940
138      10.957891      2.732107         0.624237        0.132534               5               sqrt                       8                500      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.718487           0.720898         0.718689        0.001516              145            0.726095            0.726795            0.724694            0.725744            0.721289          0.724923         0.001940
151       2.708819      0.565120         0.193374        0.039589               5               auto                       6                100      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.718487           0.720898         0.718689        0.002494              145            0.726795            0.727496            0.724694            0.724343            0.722339          0.725133         0.001842
150       0.328001      0.076792         0.048188        0.031307               5               auto                       6                 10       {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 10}           0.718487           0.717087           0.715686           0.718487           0.722300         0.718410        0.002205              157            0.728546            0.725394            0.728897            0.725044            0.723739          0.726324         0.002037
130       0.296506      0.061756         0.046409        0.022941               5               sqrt                       6                 10       {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 10}           0.718487           0.717087           0.715686           0.718487           0.722300         0.718410        0.002205              157            0.728546            0.725394            0.728897            0.725044            0.723739          0.726324         0.002037
170       0.215198      0.029209         0.031351        0.007970               5               log2                       6                 10       {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 10}           0.718487           0.717087           0.715686           0.718487           0.722300         0.718410        0.002205              157            0.728546            0.725394            0.728897            0.725044            0.723739          0.726324         0.002037
163       9.215722      0.233113         0.597715        0.029180               5               log2                       2                500      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.727496            0.727846            0.725394            0.726795            0.721989          0.725904         0.002130
169      18.862799      0.120094         1.122872        0.066518               5               log2                       4               1000     {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 1000}           0.717087           0.718487           0.718487           0.717087           0.720898         0.718409        0.001393              160            0.726795            0.727496            0.724694            0.727145            0.721639          0.725554         0.002187
123       7.818520      1.531793         0.512852        0.140987               5               sqrt                       2                500      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.727496            0.727846            0.725394            0.726795            0.721989          0.725904         0.002130
179      18.897256      0.435373         1.177777        0.062436               5               log2                       8               1000     {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.725744            0.727145            0.723643            0.726445            0.721289          0.724853         0.002133
139      22.301430      1.023184         1.279313        0.330034               5               sqrt                       8               1000     {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.725744            0.727145            0.723643            0.726445            0.721289          0.724853         0.002133
149      24.578436      4.375141         1.523453        0.283813               5               auto                       4               1000     {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 1000}           0.717087           0.718487           0.718487           0.717087           0.720898         0.718409        0.001393              160            0.726795            0.727496            0.724694            0.727145            0.721639          0.725554         0.002187
143       8.100959      0.284799         0.565163        0.085097               5               auto                       2                500      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 500}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.727496            0.727846            0.725394            0.726795            0.721989          0.725904         0.002130
159      18.055166      0.177970         1.147840        0.035774               5               auto                       8               1000     {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.719888           0.717087           0.720898         0.718409        0.001651              160            0.725744            0.727145            0.723643            0.726445            0.721289          0.724853         0.002133
129      16.597491      3.266381         1.181081        0.248133               5               sqrt                       4               1000     {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 1000}           0.717087           0.718487           0.718487           0.717087           0.720898         0.718409        0.001393              160            0.726795            0.727496            0.724694            0.727145            0.721639          0.725554         0.002187
125       0.147923      0.006243         0.020402        0.001073               5               sqrt                       4                 10       {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 10}           0.718487           0.717087           0.717087           0.715686           0.722300         0.718129        0.002266              169            0.728196            0.726095            0.728196            0.724343            0.723389          0.726044         0.001960
145       0.217764      0.006608         0.036476        0.008862               5               auto                       4                 10       {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 10}           0.718487           0.717087           0.717087           0.715686           0.722300         0.718129        0.002266              169            0.728196            0.726095            0.728196            0.724343            0.723389          0.726044         0.001960
165       0.208661      0.027472         0.025938        0.008797               5               log2                       4                 10       {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 10}           0.718487           0.717087           0.717087           0.715686           0.722300         0.718129        0.002266              169            0.728196            0.726095            0.728196            0.724343            0.723389          0.726044         0.001960
156       2.250484      0.409712         0.147776        0.021400               5               auto                       8                100      {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.715686           0.720898         0.718129        0.002775              172            0.726795            0.727145            0.724694            0.724343            0.721289          0.724853         0.002098
176       1.928807      0.213758         0.133321        0.014321               5               log2                       8                100      {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.715686           0.720898         0.718129        0.002775              172            0.726795            0.727145            0.724694            0.724343            0.721289          0.724853         0.002098
136       1.429194      0.214494         0.089645        0.003948               5               sqrt                       8                100      {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.718487           0.721289           0.715686           0.720898         0.718129        0.002775              172            0.726795            0.727145            0.724694            0.724343            0.721289          0.724853         0.002098
140       0.296378      0.066292         0.038147        0.017577               5               auto                       2                 10       {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.717087           0.715686           0.714286           0.720898         0.717569        0.002491              175            0.728897            0.727846            0.728546            0.724694            0.723739          0.726744         0.002113
160       0.199244      0.019837         0.023922        0.002274               5               log2                       2                 10       {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.717087           0.715686           0.714286           0.720898         0.717569        0.002491              175            0.728897            0.727846            0.728546            0.724694            0.723739          0.726744         0.002113
120       0.176801      0.030744         0.025038        0.005043               5               sqrt                       2                 10       {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}           0.719888           0.717087           0.715686           0.714286           0.720898         0.717569        0.002491              175            0.728897            0.727846            0.728546            0.724694            0.723739          0.726744         0.002113
155       0.218822      0.044431         0.027176        0.009116               5               auto                       8                 10       {'max_depth': 5, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 10}           0.717087           0.714286           0.718487           0.714286           0.720898         0.717009        0.002536              178            0.728546            0.725744            0.729947            0.723643            0.724440          0.726464         0.002410
175       0.200492      0.015934         0.025447        0.003579               5               log2                       8                 10       {'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 10}           0.717087           0.714286           0.718487           0.714286           0.720898         0.717009        0.002536              178            0.728546            0.725744            0.729947            0.723643            0.724440          0.726464         0.002410
135       0.185432      0.031687         0.028128        0.014917               5               sqrt                       8                 10       {'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 10}           0.717087           0.714286           0.718487           0.714286           0.720898         0.717009        0.002536              178            0.728546            0.725744            0.729947            0.723643            0.724440          0.726464         0.002410
219      29.568800      0.319422         1.781631        0.538919              10               auto                       8               1000    {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.718487           0.712885           0.716690         0.716447        0.001883              181            0.742907            0.740806            0.744658            0.745359            0.747549          0.744256         0.002278
239      25.354161      0.459043         1.330379        0.079486              10               log2                       8               1000    {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.718487           0.712885           0.716690         0.716447        0.001883              181            0.742907            0.740806            0.744658            0.745359            0.747549          0.744256         0.002278
199      26.179595      1.146813         1.685337        0.470323              10               sqrt                       8               1000    {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 1000}           0.717087           0.717087           0.718487           0.712885           0.716690         0.716447        0.001883              181            0.742907            0.740806            0.744658            0.745359            0.747549          0.744256         0.002278
229      26.569890      1.235923         1.364671        0.043495              10               log2                       4               1000    {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 1000}           0.711485           0.717087           0.719888           0.712885           0.719495         0.716168        0.003419              184            0.749912            0.748862            0.754816            0.752715            0.755952          0.752451         0.002729
189      32.625576      1.637177         1.878344        0.219245              10               sqrt                       4               1000    {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 1000}           0.711485           0.717087           0.719888           0.712885           0.719495         0.716168        0.003419              184            0.749912            0.748862            0.754816            0.752715            0.755952          0.752451         0.002729
209      27.961854      1.295942         1.433124        0.035973              10               auto                       4               1000    {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 1000}           0.711485           0.717087           0.719888           0.712885           0.719495         0.716168        0.003419              184            0.749912            0.748862            0.754816            0.752715            0.755952          0.752451         0.002729
238      13.692866      0.819209         0.687424        0.026420              10               log2                       8                500     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.715686           0.718487           0.712885           0.716690         0.716167        0.001871              187            0.742557            0.741506            0.744308            0.746410            0.748249          0.744606         0.002467
198      16.409702      1.629644         0.748382        0.068776              10               sqrt                       8                500     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.715686           0.718487           0.712885           0.716690         0.716167        0.001871              187            0.742557            0.741506            0.744308            0.746410            0.748249          0.744606         0.002467
218      13.980431      0.407754         0.712349        0.082745              10               auto                       8                500     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 500}           0.717087           0.715686           0.718487           0.712885           0.716690         0.716167        0.001871              187            0.742557            0.741506            0.744308            0.746410            0.748249          0.744606         0.002467
184      26.378661      1.677023         1.428852        0.067789              10               sqrt                       2               1000    {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 1000}           0.712885           0.721289           0.721289           0.710084           0.715288         0.716167        0.004495              190            0.757968            0.756217            0.761471            0.759720            0.764706          0.760016         0.002927
224      25.654345      0.828550         1.384246        0.094312              10               log2                       2               1000    {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 1000}           0.712885           0.721289           0.721289           0.710084           0.715288         0.716167        0.004495              190            0.757968            0.756217            0.761471            0.759720            0.764706          0.760016         0.002927
204      30.079731      1.188595         2.084834        0.475217              10               auto                       2               1000    {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 1000}           0.712885           0.721289           0.721289           0.710084           0.715288         0.716167        0.004495              190            0.757968            0.756217            0.761471            0.759720            0.764706          0.760016         0.002927
232       6.330574      0.139253         0.380385        0.019059              10               log2                       6                250     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 250}           0.714286           0.712885           0.719888           0.712885           0.719495         0.715888        0.003150              193            0.747811            0.746060            0.750613            0.748862            0.751401          0.748949         0.001920
212       6.409251      0.181385         0.375685        0.021557              10               auto                       6                250     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 250}           0.714286           0.712885           0.719888           0.712885           0.719495         0.715888        0.003150              193            0.747811            0.746060            0.750613            0.748862            0.751401          0.748949         0.001920
192       9.139330      1.164674         0.493056        0.142170              10               sqrt                       6                250     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 250}           0.714286           0.712885           0.719888           0.712885           0.719495         0.715888        0.003150              193            0.747811            0.746060            0.750613            0.748862            0.751401          0.748949         0.001920
214      26.134070      0.861385         1.469399        0.137897              10               auto                       6               1000    {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 1000}           0.717087           0.715686           0.718487           0.710084           0.716690         0.715607        0.002904              196            0.745009            0.746060            0.749212            0.749562            0.751050          0.748179         0.002270
234      25.853705      0.623902         1.689464        0.438042              10               log2                       6               1000    {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 1000}           0.717087           0.715686           0.718487           0.710084           0.716690         0.715607        0.002904              196            0.745009            0.746060            0.749212            0.749562            0.751050          0.748179         0.002270
194      27.759051      1.272197         1.900013        0.565916              10               sqrt                       6               1000    {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 1000}           0.717087           0.715686           0.718487           0.710084           0.716690         0.715607        0.002904              196            0.745009            0.746060            0.749212            0.749562            0.751050          0.748179         0.002270
203      16.590320      1.431590         1.106443        0.178464              10               auto                       2                500     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 500}           0.707283           0.721289           0.721289           0.712885           0.715288         0.715607        0.005317              199            0.757268            0.755166            0.760070            0.761121            0.763305          0.759386         0.002868
183      12.575132      0.380572         0.746952        0.151417              10               sqrt                       2                500     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}           0.707283           0.721289           0.721289           0.712885           0.715288         0.715607        0.005317              199            0.757268            0.755166            0.760070            0.761121            0.763305          0.759386         0.002868
223      13.671445      0.454623         0.779166        0.105400              10               log2                       2                500     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 500}           0.707283           0.721289           0.721289           0.712885           0.715288         0.715607        0.005317              199            0.757268            0.755166            0.760070            0.761121            0.763305          0.759386         0.002868
208      15.650930      1.493359         0.731845        0.086284              10               auto                       4                500     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 500}           0.711485           0.715686           0.721289           0.710084           0.718093         0.715327        0.004137              202            0.750963            0.748862            0.753415            0.754816            0.756653          0.752942         0.002759
188      14.574598      0.917024         0.905854        0.123620              10               sqrt                       4                500     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 500}           0.711485           0.715686           0.721289           0.710084           0.718093         0.715327        0.004137              202            0.750963            0.748862            0.753415            0.754816            0.756653          0.752942         0.002759
228      12.750308      1.026810         0.722953        0.159706              10               log2                       4                500     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 500}           0.711485           0.715686           0.721289           0.710084           0.718093         0.715327        0.004137              202            0.750963            0.748862            0.753415            0.754816            0.756653          0.752942         0.002759
191       3.219505      0.334836         0.250259        0.083437              10               sqrt                       6                100     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.712885           0.715686           0.712885           0.719495         0.715047        0.002454              205            0.748511            0.749912            0.747811            0.750963            0.751751          0.749790         0.001469
211       2.889779      0.362956         0.211065        0.068764              10               auto                       6                100     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.712885           0.715686           0.712885           0.719495         0.715047        0.002454              205            0.748511            0.749912            0.747811            0.750963            0.751751          0.749790         0.001469
231       2.775192      0.177803         0.140395        0.023701              10               log2                       6                100     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 100}           0.714286           0.712885           0.715686           0.712885           0.719495         0.715047        0.002454              205            0.748511            0.749912            0.747811            0.750963            0.751751          0.749790         0.001469
193      14.998239      1.159783         0.722994        0.094650              10               sqrt                       6                500     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 500}           0.714286           0.714286           0.718487           0.711485           0.716690         0.715047        0.002383              208            0.747110            0.745709            0.749212            0.748862            0.751050          0.748389         0.001833
233      12.672495      0.188205         0.670016        0.034257              10               log2                       6                500     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 500}           0.714286           0.714286           0.718487           0.711485           0.716690         0.715047        0.002383              208            0.747110            0.745709            0.749212            0.748862            0.751050          0.748389         0.001833
213      12.925817      0.328258         0.710309        0.054872              10               auto                       6                500     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 500}           0.714286           0.714286           0.718487           0.711485           0.716690         0.715047        0.002383              208            0.747110            0.745709            0.749212            0.748862            0.751050          0.748389         0.001833
202       6.196863      0.365978         0.382466        0.036660              10               auto                       2                250     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 250}           0.708683           0.717087           0.721289           0.712885           0.713885         0.714766        0.004225              211            0.755166            0.757968            0.761121            0.760771            0.765406          0.760086         0.003421
222       8.991171      1.424872         0.499654        0.140661              10               log2                       2                250     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 250}           0.708683           0.717087           0.721289           0.712885           0.713885         0.714766        0.004225              211            0.755166            0.757968            0.761121            0.760771            0.765406          0.760086         0.003421
182       6.203724      0.019890         0.361936        0.021503              10               sqrt                       2                250     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 250}           0.708683           0.717087           0.721289           0.712885           0.713885         0.714766        0.004225              211            0.755166            0.757968            0.761121            0.760771            0.765406          0.760086         0.003421
227       6.178282      0.120324         0.346576        0.009961              10               log2                       4                250     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 250}           0.712885           0.714286           0.718487           0.712885           0.713885         0.714486        0.002075              214            0.748862            0.750613            0.754466            0.752364            0.758403          0.752942         0.003303
187       6.258577      0.360735         0.403507        0.100078              10               sqrt                       4                250     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 250}           0.712885           0.714286           0.718487           0.712885           0.713885         0.714486        0.002075              214            0.748862            0.750613            0.754466            0.752364            0.758403          0.752942         0.003303
221       3.108632      0.275501         0.171701        0.015363              10               log2                       2                100     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}           0.712885           0.714286           0.717087           0.714286           0.713885         0.714486        0.001398              214            0.754816            0.760070            0.759370            0.760420            0.765756          0.760086         0.003480
207       7.463437      1.251698         0.382658        0.046726              10               auto                       4                250     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 250}           0.712885           0.714286           0.718487           0.712885           0.713885         0.714486        0.002075              214            0.748862            0.750613            0.754466            0.752364            0.758403          0.752942         0.003303
201       2.591205      0.044559         0.162630        0.023649              10               auto                       2                100     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 2, 'n_estimators': 100}           0.712885           0.714286           0.717087           0.714286           0.713885         0.714486        0.001398              214            0.754816            0.760070            0.759370            0.760420            0.765756          0.760086         0.003480
181       2.415037      0.047966         0.161429        0.013741              10               sqrt                       2                100     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}           0.712885           0.714286           0.717087           0.714286           0.713885         0.714486        0.001398              214            0.754816            0.760070            0.759370            0.760420            0.765756          0.760086         0.003480
197       7.393132      0.717851         0.453277        0.072078              10               sqrt                       8                250     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 250}           0.715686           0.715686           0.715686           0.707283           0.716690         0.714206        0.003483              220            0.742557            0.742907            0.743608            0.745709            0.749300          0.744816         0.002494
237       6.169294      0.103020         0.364645        0.018731              10               log2                       8                250     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 250}           0.715686           0.715686           0.715686           0.707283           0.716690         0.714206        0.003483              220            0.742557            0.742907            0.743608            0.745709            0.749300          0.744816         0.002494
217       6.450187      0.245050         0.498299        0.166716              10               auto                       8                250     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 250}           0.715686           0.715686           0.715686           0.707283           0.716690         0.714206        0.003483              220            0.742557            0.742907            0.743608            0.745709            0.749300          0.744816         0.002494
216       2.527548      0.145222         0.157957        0.024718              10               auto                       8                100     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.711485           0.717087           0.707283           0.719495         0.713927        0.004271              223            0.743257            0.745009            0.743958            0.748862            0.748249          0.745867         0.002273
196       2.568467      0.113054         0.149912        0.011425              10               sqrt                       8                100     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.711485           0.717087           0.707283           0.719495         0.713927        0.004271              223            0.743257            0.745009            0.743958            0.748862            0.748249          0.745867         0.002273
236       2.523810      0.078342         0.163957        0.013791              10               log2                       8                100     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 8, 'n_estimators': 100}           0.714286           0.711485           0.717087           0.707283           0.719495         0.713927        0.004271              223            0.743257            0.745009            0.743958            0.748862            0.748249          0.745867         0.002273
186       2.782182      0.295719         0.134556        0.008539              10               sqrt                       4                100     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 4, 'n_estimators': 100}           0.707283           0.710084           0.718487           0.712885           0.715288         0.712805        0.003908              226            0.752364            0.751664            0.753415            0.751313            0.757703          0.753292         0.002319
226       2.500658      0.092761         0.149704        0.015132              10               log2                       4                100     {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 4, 'n_estimators': 100}           0.707283           0.710084           0.718487           0.712885           0.715288         0.712805        0.003908              226            0.752364            0.751664            0.753415            0.751313            0.757703          0.753292         0.002319
206       2.885156      0.347603         0.161176        0.020978              10               auto                       4                100     {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 4, 'n_estimators': 100}           0.707283           0.710084           0.718487           0.712885           0.715288         0.712805        0.003908              226            0.752364            0.751664            0.753415            0.751313            0.757703          0.753292         0.002319
230       0.322805      0.101448         0.026379        0.006213              10               log2                       6                 10      {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 6, 'n_estimators': 10}           0.696078           0.704482           0.708683           0.711485           0.716690         0.707484        0.006947              229            0.759370            0.757268            0.755166            0.754116            0.754552          0.756094         0.001963
210       0.276651      0.027550         0.034507        0.012442              10               auto                       6                 10      {'max_depth': 10, 'max_features': 'auto', 'min_samples_split': 6, 'n_estimators': 10}           0.696078           0.704482           0.708683           0.711485           0.716690         0.707484        0.006947              229            0.759370            0.757268            0.755166            0.754116            0.754552          0.756094         0.001963
190       0.296254      0.043392         0.031347        0.012811              10               sqrt                       6                 10      {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 6, 'n_estimators': 10}           0.696078           0.704482           0.708683           0.711485           0.716690         0.707484        0.006947              229            0.759370            0.757268            0.755166            0.754116            0.754552          0.756094         0.001963
